Preference,College,Level
Apples,Sixth,Sophomore
Apples,Seventh,Freshman
Oranges,Revelle,Sophomore
Oranges,Sixth,Senior
Oranges,Seventh,Sophomore
Apples,Sixth,Freshman
Oranges,Warren,Junior
Oranges,Sixth,Freshman
Apples,ERC,Sophomore
Apples,ERC,Sophomore
Apples,Revelle,Freshman
Apples,Muir,Sophomore
Apples,Sixth,Freshman
Apples,Marshall,Sophomore
Oranges,Sixth,Senior
Oranges,Muir,Freshman
Apples,Marshall,Junior
Apples,Sixth,Junior
Apples,ERC,Sophomore
Apples,Marshall,Sophomore
Apples,Revelle,Sophomore
Apples,Muir,Junior
Oranges,Marshall,Sophomore
Apples,Marshall,Junior
Apples,Revelle,Senior
Oranges,Sixth,Junior
Apples,Muir,Junior
Oranges,ERC,Junior
Apples,Muir,Sophomore
Oranges,Marshall,Sophomore
Oranges,Sixth,Senior
Apples,Revelle,Junior
Oranges,ERC,Freshman
Oranges,Seventh,Sophomore
Apples,Marshall,Senior
Apples,Revelle,Senior
Oranges,Marshall,Sophomore
Oranges,Seventh,Senior
Apples,ERC,Junior
Apples,Warren,Senior
Oranges,Revelle,Junior
Apples,Warren,Junior
Apples,Revelle,Freshman
Apples,Seventh,Senior
Oranges,ERC,Sophomore
Apples,Sixth,Sophomore
Apples,Muir,Senior
Oranges,ERC,Sophomore
Oranges,Revelle,Junior
Apples,Marshall,Freshman
Oranges,Marshall,Freshman
Apples,Revelle,Junior
Oranges,Muir,Senior
Apples,Marshall,Freshman
Oranges,Sixth,Sophomore
Apples,Revelle,Junior
Oranges,Muir,Junior
Apples,Marshall,Junior
Oranges,Sixth,Junior
Apples,Warren,Freshman
Apples,Muir,Freshman
Oranges,Warren,Senior
Apples,Seventh,Senior
Oranges,Warren,Junior
Apples,ERC,Freshman
Apples,Seventh,Freshman
Apples,Sixth,Freshman
Apples,Warren,Senior
Apples,Revelle,Sophomore
Apples,Revelle,Junior
Oranges,Marshall,Freshman
Oranges,Warren,Senior
Oranges,Sixth,Senior
Oranges,Muir,Freshman
Apples,ERC,Sophomore
Oranges,Marshall,Junior
Apples,Warren,Senior
Oranges,ERC,Senior
Oranges,Warren,Senior
Oranges,Seventh,Junior
Oranges,Sixth,Senior
Apples,Warren,Sophomore
Oranges,Warren,Sophomore
Oranges,Sixth,Junior
Apples,Seventh,Junior
Oranges,Marshall,Freshman
Apples,Warren,Senior
Apples,Seventh,Sophomore
Apples,Revelle,Freshman
Oranges,Warren,Senior
Apples,Warren,Freshman
Oranges,Muir,Senior
Oranges,Muir,Freshman
Apples,Revelle,Sophomore
Apples,ERC,Junior
Apples,Warren,Sophomore
Oranges,Marshall,Senior
Apples,Revelle,Sophomore
Oranges,ERC,Junior
Apples,Muir,Senior
Apples,Marshall,Junior
Oranges,ERC,Sophomore
Oranges,Revelle,Sophomore
Apples,Warren,Junior
Apples,Marshall,Senior
Oranges,Marshall,Freshman
Apples,Muir,Freshman
Apples,Revelle,Junior
Apples,Sixth,Freshman
Apples,Seventh,Sophomore
Apples,Warren,Sophomore
Apples,Marshall,Senior
Apples,ERC,Sophomore
Apples,Sixth,Junior
Apples,ERC,Sophomore
Oranges,Muir,Sophomore
Oranges,ERC,Junior
Apples,Sixth,Junior
Oranges,Sixth,Sophomore
Apples,Muir,Senior
Oranges,Marshall,Sophomore
Apples,Marshall,Sophomore
Oranges,Sixth,Freshman
Oranges,Muir,Freshman
Oranges,Sixth,Senior
Oranges,Sixth,Freshman
Oranges,Marshall,Junior
Oranges,Marshall,Senior
Apples,Marshall,Sophomore
Apples,Sixth,Sophomore
Apples,Marshall,Senior
Apples,Sixth,Senior
Apples,Sixth,Junior
Apples,Sixth,Junior
Apples,Warren,Senior
Oranges,ERC,Senior
Apples,Revelle,Junior
Oranges,Sixth,Junior
Apples,ERC,Senior
Apples,Revelle,Freshman
Oranges,Muir,Freshman
Oranges,Sixth,Sophomore
Oranges,Seventh,Freshman
Oranges,Seventh,Sophomore
Apples,Warren,Senior
Oranges,Muir,Senior
Apples,Marshall,Freshman
Oranges,Revelle,Freshman
Apples,Warren,Sophomore
Apples,Sixth,Freshman
Oranges,Muir,Freshman
Oranges,Warren,Sophomore
Apples,ERC,Freshman
Apples,Sixth,Junior
Apples,Marshall,Sophomore
Apples,Seventh,Freshman
Oranges,Marshall,Sophomore
Apples,Revelle,Freshman
Apples,Warren,Junior
Apples,Sixth,Junior
Oranges,Sixth,Sophomore
Apples,Warren,Sophomore
Apples,Seventh,Sophomore
Apples,Seventh,Senior
Oranges,Marshall,Junior
Oranges,ERC,Senior
Oranges,Seventh,Junior
Apples,Muir,Senior
Apples,Revelle,Senior
Apples,ERC,Junior
Apples,Muir,Senior
Oranges,Revelle,Sophomore
Oranges,Seventh,Sophomore
Apples,Revelle,Junior
Oranges,Revelle,Freshman
Apples,Revelle,Senior
Apples,Warren,Freshman
Oranges,Marshall,Sophomore
Apples,Marshall,Sophomore
Apples,Muir,Sophomore
Oranges,Marshall,Senior
Apples,Marshall,Freshman
Apples,Muir,Freshman
Apples,ERC,Senior
Apples,Sixth,Junior
Apples,Muir,Senior
Oranges,Revelle,Senior
Oranges,ERC,Freshman
Apples,Marshall,Freshman
Apples,Seventh,Sophomore
Apples,Muir,Sophomore
Apples,Muir,Freshman
Apples,ERC,Sophomore
Apples,Warren,Junior
Oranges,Seventh,Sophomore
Oranges,ERC,Senior
Apples,Marshall,Freshman
Apples,Sixth,Sophomore
Oranges,ERC,Freshman
Apples,Revelle,Senior
Apples,Revelle,Senior
Apples,Muir,Sophomore
Apples,Sixth,Junior
Apples,Muir,Freshman
Apples,Seventh,Senior
Oranges,Sixth,Freshman
Apples,ERC,Junior
Apples,Marshall,Junior
Apples,Seventh,Freshman
Apples,Seventh,Senior
Apples,ERC,Freshman
Apples,Sixth,Senior
Oranges,ERC,Senior
Apples,Seventh,Junior
Apples,Seventh,Freshman
Oranges,Sixth,Sophomore
Apples,Marshall,Freshman
Oranges,Marshall,Freshman
Apples,Seventh,Freshman
Oranges,Sixth,Senior
Apples,ERC,Senior
Apples,Seventh,Sophomore
Apples,Seventh,Freshman
Apples,Seventh,Senior
Apples,Seventh,Freshman
Apples,Seventh,Freshman
Apples,Marshall,Junior
Apples,Muir,Sophomore
Apples,Revelle,Freshman
Apples,Seventh,Freshman
Apples,Warren,Junior
Apples,Revelle,Senior
Apples,Sixth,Senior
Apples,Revelle,Junior
Apples,Marshall,Freshman
Oranges,Warren,Sophomore
Apples,Seventh,Junior
Oranges,Marshall,Sophomore
Apples,Sixth,Senior
Oranges,Marshall,Junior
Oranges,Muir,Freshman
Oranges,Muir,Senior
Apples,Warren,Senior
Oranges,Muir,Junior
Oranges,Seventh,Senior
Oranges,Warren,Junior
Apples,Revelle,Senior
Apples,Seventh,Freshman
Oranges,Sixth,Sophomore
Apples,Seventh,Freshman
Oranges,Marshall,Junior
Apples,Sixth,Sophomore
Apples,Marshall,Freshman
Apples,Warren,Freshman
Oranges,Muir,Freshman
Oranges,Marshall,Sophomore
Apples,Revelle,Sophomore
Apples,Muir,Freshman
Apples,Marshall,Senior
Apples,Sixth,Junior
Oranges,Marshall,Sophomore
Apples,Warren,Senior
Apples,Revelle,Senior
Apples,Seventh,Junior
Oranges,Muir,Sophomore
Oranges,Muir,Junior
Apples,Seventh,Freshman
Apples,Sixth,Junior
Apples,Marshall,Freshman
Apples,Warren,Senior
Apples,Marshall,Junior
Apples,Revelle,Junior
Apples,Revelle,Junior
Oranges,Warren,Junior
Apples,Sixth,Sophomore
Apples,ERC,Junior
Apples,Seventh,Freshman
Apples,Revelle,Senior
Oranges,Sixth,Sophomore
Apples,Sixth,Senior
Apples,ERC,Sophomore
Apples,Sixth,Senior
Oranges,Revelle,Senior
Oranges,Sixth,Freshman
Oranges,Revelle,Sophomore
Apples,Seventh,Sophomore
Oranges,Marshall,Freshman
Apples,Sixth,Junior
Oranges,Warren,Freshman
Oranges,Marshall,Junior
Apples,Revelle,Junior
Apples,Muir,Senior
Oranges,Muir,Junior
Apples,Warren,Sophomore
Apples,Sixth,Freshman
Apples,Warren,Freshman
Apples,Seventh,Senior
Apples,ERC,Senior
Oranges,Seventh,Junior
Apples,Seventh,Sophomore
Oranges,Seventh,Sophomore
Apples,Seventh,Sophomore
Apples,Revelle,Junior
Apples,ERC,Junior
Apples,Revelle,Freshman
Apples,Warren,Senior
Apples,Marshall,Junior
