name,year,cause,acres,county
CAMP,2018,11 - Powerline,153335.5625,Butte
BUTTE,2015,14 - Unknown,70846.53125,Calaveras
KING,2014,7 - Arson,97684.546875,El Dorado
ROUGH,2015,1 - Lightning,151546.8125,Fresno
MEGRAM,1999,1 - Lightning,125072.53125,Humboldt
RANCH,2018,14 - Unknown,410202.46875,Lake
VALLEY ,2015,14 - Unknown,76084.8359375,Lake
ROCKY  ,2015,9 - Miscellaneous,69438.1640625,Lake
FORK,1996,7 - Arson,83056.9453125,Lake
RUSH,2012,1 - Lightning,315511.5,Lassen
RAVENNA,1919,14 - Unknown,71373.1484375,Los Angeles
WOOLSEY,2018,14 - Unknown,96949.0,Los Angeles
STATION,2009,7 - Arson,160833.109375,Los Angeles
FERGUSON,2018,9 - Miscellaneous,96900.0390625,Mariposa
DETWILER,2017,9 - Miscellaneous,81826.2734375,Mariposa
SCARFACE,1977,1 - Lightning,78190.8515625,Modoc
SOBERANES,2016,4 - Campfire,132104.28125,Monterey
INDIANS,2008,4 - Campfire,76459.78125,Monterey
KIRK,1999,1 - Lightning,85834.9140625,Monterey
BASIN COMPLEX,2008,1 - Lightning,163606.6875,Monterey
MARBLE-CONE,1977,9 - Miscellaneous,173333.453125,Monterey
CHIPS,2012,4 - Campfire,76349.7109375,Plumas
OLD,2003,7 - Arson,91428.0,San Bernardino
HARRIS 2,2007,14 - Unknown,90728.328125,San Diego
CEDAR,2003,2 - Equipment Use,270686.0,San Diego
WITCH,2007,9 - Miscellaneous,162070.46875,San Diego
LAGUNA,1970,4 - Campfire,174161.546875,San Diego
LAS PILITAS,1985,2 - Equipment Use,84271.421875,San Luis Obispo
HIGHWAY 58,1996,9 - Miscellaneous,106969.7421875,San Luis Obispo
ZACA,2007,2 - Equipment Use,240358.703125,Santa Barbara
REFUGIO,1955,9 - Miscellaneous,79428.7109375,Santa Barbara
LA BREA,2009,9 - Miscellaneous,97815.3125,Santa Barbara
CARR ,2018,10 - Vehicle,229651.40625,Shasta
OAK,2017,1 - Lightning,91125.328125,Siskiyou
FRYING PAN,2014,1 - Lightning,133177.375,Siskiyou
GLASS MOUNTAIN,1910,1 - Lightning,146967.5625,Siskiyou
KINCADE,2019,11 - Powerline,77762.140625,Sonoma
CAMPBELL,1990,2 - Equipment Use,131504.21875,Tehama
SKINNER MILL,1976,9 - Miscellaneous,89133.28125,Tehama
HAPPY,2015,1 - Lightning,68095.2421875,Trinity
MANTER,2000,9 - Miscellaneous,79223.4296875,Tulare
MCNALLY,2002,4 - Campfire,149475.28125,Tulare
RIM,2013,4 - Campfire,256175.53125,Tuolumne
CLAMPITT FIRE,1970,14 - Unknown,115537.421875,Ventura
WHEELER #2,1985,9 - Miscellaneous,122686.8828125,Ventura
DAY,2006,5 - Debris,161815.65625,Ventura
MATILIJA,1932,9 - Miscellaneous,219999.28125,Ventura
THOMAS,2017,9 - Miscellaneous,281790.875,Ventura
SIMI FIRE,2003,14 - Unknown,107570.3984375,Ventura
COUNTY,2018,14 - Unknown,89831.1484375,Yolo
