year,temperature,rainfall,pdsi
1898,51.43,29.57,0.10083333333333339
1899,51.01,28.71,0.025833333333333226
1900,52.77,30.63,-0.04999999999999999
1901,51.87,27.63,-1.1491666666666667
1902,51.59,30.63,-0.8399999999999999
1903,50.62,29.36,1.7033333333333331
1904,51.16,27.95,-0.03083333333333338
1905,51.0,32.6,1.5483333333333331
1906,51.73,32.84,3.598333333333333
1907,51.48,30.94,4.304166666666667
1908,52.08,29.8,3.3625000000000003
1909,51.43,31.19,1.8133333333333332
1910,52.42,24.91,-2.4808333333333334
1911,52.03,29.52,-2.404166666666667
1912,50.23,30.48,2.6266666666666665
1913,51.54,29.84,0.48583333333333334
1914,51.84,28.81,-0.27499999999999997
1915,51.45,32.77,2.0974999999999997
1916,50.85,29.42,2.396666666666667
1917,50.06,25.35,-0.645
1918,51.87,28.78,-2.930833333333334
1919,51.55,31.76,1.7658333333333334
1920,51.07,31.3,3.4625000000000004
1921,53.8,28.78,-0.5483333333333332
1922,52.03,29.89,-0.4733333333333334
1923,51.64,31.68,1.1433333333333333
1924,50.59,26.52,-0.38083333333333336
1925,52.52,26.96,-2.06
1926,51.95,30.94,0.4183333333333333
1927,52.15,32.06,2.8366666666666664
1928,51.92,29.5,2.7808333333333333
1929,50.85,30.15,1.0941666666666667
1930,51.98,25.58,-1.991666666666667
1931,53.54,27.52,-4.184166666666667
1932,51.73,30.44,0.075
1933,52.99,27.5,-1.0416666666666667
1934,54.1,25.79,-6.69
1935,51.9,29.48,-3.1191666666666666
1936,52.15,27.28,-3.538333333333334
1937,51.55,30.51,-2.3208333333333333
1938,53.18,29.74,0.07250000000000005
1939,53.26,26.33,-2.8858333333333337
1940,51.89,30.41,-4.249999999999999
1941,52.66,32.81,1.6583333333333332
1942,51.84,31.33,3.1925000000000003
1943,52.07,26.81,0.8908333333333331
1944,51.83,30.62,-0.14833333333333332
1945,51.75,33.03,2.056666666666667
1946,52.95,31.09,2.3699999999999997
1947,51.92,29.35,2.1350000000000002
1948,51.61,30.69,0.8150000000000001
1949,52.02,30.3,1.2449999999999999
1950,51.39,30.87,1.3283333333333334
1951,51.12,31.25,1.6841666666666668
1952,52.27,26.34,-0.9258333333333333
1953,53.37,28.31,-2.8658333333333332
1954,53.33,26.15,-4.3308333333333335
1955,51.69,27.74,-4.458333333333333
1956,52.34,25.38,-3.5866666666666664
1957,52.04,33.87,0.9175
1958,51.93,30.23,2.742500000000001
1959,52.1,30.6,-0.3399999999999999
1960,51.44,28.75,0.011666666666666659
1961,51.87,31.25,0.8933333333333334
1962,51.9,28.6,0.013333333333333383
1963,52.26,25.7,-2.9341666666666666
1964,51.67,30.26,-1.0658333333333332
1965,51.69,29.8,0.7058333333333332
1966,51.49,27.46,-1.7583333333333335
1967,51.76,29.6,0.4366666666666667
1968,51.32,30.39,1.8008333333333333
1969,51.5,30.63,2.4975
1970,51.61,29.7,0.7408333333333333
1971,51.66,30.33,0.61
1972,51.37,31.7,1.9749999999999999
1973,52.29,34.96,4.836666666666666
1974,52.26,30.62,3.473333333333333
1975,51.5,33.03,3.7183333333333337
1976,51.47,26.31,-0.3516666666666666
1977,52.55,30.44,-1.1491666666666667
1978,51.04,30.14,0.916666666666667
1979,50.88,32.75,2.226666666666667
1980,52.39,28.27,-0.4000000000000001
1981,53.12,29.96,-0.7566666666666667
1982,51.34,33.86,3.3658333333333332
1983,51.88,34.76,5.005833333333333
1984,51.97,31.4,3.9491666666666667
1985,51.3,29.97,0.9641666666666667
1986,53.32,31.38,2.1366666666666663
1987,53.33,29.01,-0.5625
1988,52.63,25.9,-3.496666666666666
1989,51.84,29.05,-0.8474999999999998
1990,53.51,32.17,0.03
1991,53.16,32.44,1.1541666666666668
1992,52.6,31.26,1.1833333333333333
1993,51.26,32.62,4.370833333333333
1994,52.87,30.62,2.1441666666666666
1995,52.65,32.69,2.795833333333333
1996,51.88,33.7,2.795833333333333
1997,52.2,31.86,4.301666666666667
1998,54.23,33.89,1.5499999999999998
1999,53.88,28.47,-0.14500000000000002
2000,53.27,28.22,-4.4383333333333335
2001,53.69,29.02,-2.8699999999999997
2002,53.21,29.05,-2.06
2003,53.26,30.51,0.5833333333333334
2004,53.1,33.25,1.3108333333333333
2005,53.64,30.08,0.09333333333333334
2006,54.25,29.82,-2.205833333333333
2007,53.65,29.18,-1.6441666666666668
2008,52.29,31.24,0.3516666666666666
2009,52.39,32.3,1.2516666666666667
2010,52.98,31.37,3.0533333333333332
2011,53.18,30.1,-0.15833333333333335
2012,55.28,27.53,-4.0025
2013,52.43,31.06,-0.2266666666666667
2014,52.54,30.85,1.2325
2015,54.4,34.59,1.17
2016,54.92,31.42,-0.07999999999999996
2017,54.55,32.31,-0.011666666666666733
2018,53.52,34.65,-0.24999999999999997
2019,52.67,34.82,4.714166666666666
