ID,WEIGHT,LENGTH
20190001,4.05,34.7
20190002,1.1,24.6
20190003,2.8,33.5
20190004,1.585,33.5
20190005,1.705,32.5
20190006,1.495,30.5
20190007,3.11,38.2
20190008,2.5,37.3
20190009,2.75,39.2
20190010,3.7,40.4
20190011,2.13,34.4
20190012,2.68,38.0
20190013,2.51,32.7
20190014,2.8,38.0
20190015,4.52,45.1
20190016,1.41,30.5
20190017,4.16,41.0
20190018,2.17,32.8
20190019,1.0,26.0
20190020,1.5,32.5
20190021,2.875,33.5
20190022,1.525,26.9
20190023,1.85,33.8
20190024,1.08,20.5
20190025,4.5,44.3
20190026,7.25,48.8
20190027,8.505,58.5
20190028,3.625,33.5
20190029,2.7,37.3
20190030,5.125,46.0
20190031,3.77,41.7
20190032,6.5,48.3
20190033,1.685,34.0
20190034,5.025,47.2
20190035,6.115,54.4
20190036,3.875,38.0
20190037,1.875,30.6
20190038,3.67,42.3
20190039,3.3,36.5
20190040,2.19,36.4
20190041,3.285,40.5
20190042,3.24,39.0
20190043,1.805,30.5
20190044,3.625,48.4
20190045,5.165,45.7
20190046,3.4,33.4
20190047,3.84,44.0
20190048,3.875,41.3
20190049,1.925,34.1
20190050,4.705,42.8
20190051,1.85,32.5
20190052,5.25,37.4
20190053,1.305,30.6
20190054,6.995,61.9
20190055,2.0,32.5
20190056,1.45,27.8
20190057,3.42,40.0
20190058,2.66,37.8
20190059,6.375,49.3
20190060,1.45,22.0
20190061,3.5,43.7
20190062,1.7,31.6
20190063,3.745,43.3
20190064,3.595,37.9
20190065,1.625,33.3
20190066,4.25,40.9
20190067,4.125,41.2
20190068,5.3,48.1
20190069,2.05,34.1
20190070,2.75,40.8
20190071,2.21,31.0
20190072,1.56,30.3
20190073,2.125,33.7
20190074,2.73,38.6
20190075,1.46,32.3
20190076,1.035,29.3
20190077,7.3,56.8
20190078,2.425,38.0
20190079,4.75,45.6
20190080,3.75,42.0
20190081,1.4,33.0
20190082,2.625,35.1
20190083,4.25,35.8
20190084,3.5,40.5
20190085,3.5,33.6
20190086,1.11,26.6
20190087,4.25,40.4
20190088,3.95,41.5
20190089,5.615,42.0
20190090,4.1,36.8
20190091,1.575,30.7
20190092,3.25,37.9
20190093,1.425,28.5
20190094,4.375,45.0
20190095,1.875,31.0
20190096,7.0,49.2
20190097,5.135,48.0
20190098,6.375,46.6
20190099,3.24,41.4
20190100,3.81,36.2
20190101,4.615,39.6
20190102,1.805,29.0
20190103,1.975,30.0
20190104,5.05,44.7
20190105,13.055,69.4
20190106,1.01,25.4
20190107,4.125,44.1
20190108,3.515,41.2
20190109,2.5,38.0
20190110,2.8,34.7
20190111,4.95,41.2
20190112,4.0,40.5
20190113,2.125,34.8
20190114,4.23,45.1
20190115,1.58,29.5
20190116,2.875,36.3
20190117,4.295,43.3
20190118,3.49,37.9
20190119,2.615,39.5
20190120,1.425,36.5
20190121,3.25,38.4
20190122,6.05,48.8
20190123,3.86,42.2
20190124,2.05,37.4
20190125,2.0,34.2
20190126,2.485,34.1
20190127,5.905,46.2
20190128,1.545,31.5
20190129,8.75,60.0
20190130,10.965,48.3
20190131,2.225,33.0
20190132,2.735,40.0
20190133,1.04,28.5
20190134,4.875,47.6
20190135,2.0,33.3
20190136,3.175,38.0
20190137,3.25,38.5
20190138,1.895,32.3
20190139,1.62,30.3
20190140,8.125,54.1
20190141,2.115,31.0
20190142,2.015,33.0
20190143,5.04,46.0
20190144,1.875,32.4
20190145,2.615,32.0
20190146,5.8,50.4
20190147,4.72,50.0
20190148,2.26,33.7
20190149,2.135,33.5
20190150,4.75,42.7
20190151,4.835,48.6
20190152,3.02,39.6
20190153,1.265,29.7
20190154,5.13,48.5
20190155,3.125,40.5
20190156,4.15,37.0
20190157,1.725,30.0
20190158,1.545,29.5
20190159,3.245,40.6
20190160,4.0,41.1
20190161,2.42,35.5
20190162,2.895,38.4
20190163,5.65,45.0
20190164,4.75,47.0
20190165,4.94,42.2
20190166,1.875,27.7
20190167,3.06,39.2
20190168,1.9,34.4
20190169,3.275,37.2
20190170,1.74,31.4
20190171,3.965,45.3
20190172,2.46,41.8
20190173,2.475,31.6
20190174,8.87,58.5
20190175,6.25,48.3
20190176,4.0,39.7
20190177,1.875,29.1
20190178,6.75,49.6
20190179,1.105,21.6
20190180,1.375,31.5
20190181,4.44,44.1
20190182,6.875,53.1
20190183,2.12,33.0
20190184,3.775,36.7
20190185,9.5,45.1
20190186,3.79,41.0
20190187,1.315,29.1
20190188,15.0,62.7
20190189,1.0,25.3
20190190,4.5,43.8
20190191,7.625,52.2
20190192,4.0,45.5
20190193,1.325,33.8
20190194,3.2,35.2
20190195,2.365,34.0
20190196,1.25,25.4
20190197,9.6,53.7
20190198,8.95,57.0
20190199,4.89,44.5
20190200,5.28,46.6
20190201,6.0,49.0
20190202,1.5,23.2
20190203,8.46,54.2
20190204,1.625,33.3
20190205,3.625,36.5
20190206,1.3,31.2
20190207,2.625,36.9
20190208,7.7,50.6
20190209,1.75,33.6
20190210,4.645,47.0
20190211,3.5,40.1
20190212,1.5,28.8
20190213,2.75,36.5
20190214,3.615,42.0
20190215,2.145,34.8
20190216,3.14,39.0
20190217,7.05,51.7
20190218,11.25,58.3
20190219,4.095,45.3
20190220,3.0,36.5
20190221,4.05,36.3
20190222,1.015,28.0
20190223,5.795,46.3
20190224,7.7,53.8
20190225,4.35,37.0
20190226,1.875,34.6
20190227,6.95,50.2
20190228,4.95,39.0
20190229,1.65,30.0
20190230,5.92,45.1
20190231,5.06,43.7
