day_of_year,month,date_of_month,births
1,1,1,116030
2,1,2,144083
3,1,3,170115
4,1,4,171663
5,1,5,166682
6,1,6,164167
7,1,7,167622
8,1,8,163078
9,1,9,163838
10,1,10,171353
11,1,11,170299
12,1,12,165975
13,1,13,159289
14,1,14,168390
15,1,15,161300
16,1,16,163044
17,1,17,169280
18,1,18,168555
19,1,19,161843
20,1,20,162332
21,1,21,164719
22,1,22,162851
23,1,23,167275
24,1,24,171684
25,1,25,169222
26,1,26,164093
27,1,27,162595
28,1,28,165496
29,1,29,161292
30,1,30,165439
31,1,31,168984
32,2,1,169444
33,2,2,166066
34,2,3,163254
35,2,4,166661
36,2,5,163391
37,2,6,166125
38,2,7,173627
39,2,8,170915
40,2,9,164291
41,2,10,165466
42,2,11,168381
43,2,12,166773
44,2,13,162957
45,2,14,179978
46,2,15,172798
47,2,16,165174
48,2,17,163089
49,2,18,167037
50,2,19,162690
51,2,20,167262
52,2,21,170500
53,2,22,171365
54,2,23,164932
55,2,24,163266
56,2,25,167594
57,2,26,163313
58,2,27,166548
59,2,28,170927
60,3,1,171698
61,3,2,164841
62,3,3,166872
63,3,4,164685
64,3,5,167257
65,3,6,167603
66,3,7,171634
67,3,8,169037
68,3,9,164696
69,3,10,164649
70,3,11,163429
71,3,12,168054
72,3,13,163494
73,3,14,172129
74,3,15,169076
75,3,16,164018
76,3,17,167609
77,3,18,164085
78,3,19,166721
79,3,20,169955
80,3,21,173095
81,3,22,168874
82,3,23,164082
83,3,24,164130
84,3,25,164548
85,3,26,165840
86,3,27,167368
87,3,28,171550
88,3,29,166675
89,3,30,163623
90,3,31,161634
91,4,1,154737
92,4,2,168693
93,4,3,168316
94,4,4,174347
95,4,5,168654
96,4,6,162287
97,4,7,163074
98,4,8,163080
99,4,9,165299
100,4,10,166771
101,4,11,171436
102,4,12,168896
103,4,13,157511
104,4,14,163144
105,4,15,163083
106,4,16,166774
107,4,17,167526
108,4,18,170365
109,4,19,167745
110,4,20,163566
111,4,21,162374
112,4,22,162558
113,4,23,165528
114,4,24,166650
115,4,25,170685
116,4,26,167615
117,4,27,162582
118,4,28,162544
119,4,29,160991
120,4,30,163919
121,5,1,169438
122,5,2,171861
123,5,3,168072
124,5,4,162243
125,5,5,166073
126,5,6,163325
127,5,7,166789
128,5,8,168607
129,5,9,170670
130,5,10,170894
131,5,11,164192
132,5,12,165193
133,5,13,159795
134,5,14,169045
135,5,15,171529
136,5,16,174965
137,5,17,171265
138,5,18,165771
139,5,19,165141
140,5,20,167876
141,5,21,172074
142,5,22,173607
143,5,23,178891
144,5,24,174916
145,5,25,166475
146,5,26,154955
147,5,27,159894
148,5,28,161719
149,5,29,165097
150,5,30,169548
151,5,31,165525
152,6,1,171348
153,6,2,171526
154,6,3,168576
155,6,4,171559
156,6,5,171822
157,6,6,173566
158,6,7,172165
159,6,8,168962
160,6,9,167096
161,6,10,168219
162,6,11,170388
