day_of_year,month,date_of_month,births
1,1,1,84099
2,1,2,105941
3,1,3,125400
4,1,4,125398
5,1,5,121351
6,1,6,119416
7,1,7,122272
8,1,8,121140
9,1,9,119150
10,1,10,125792
11,1,11,125100
12,1,12,120661
13,1,13,116048
14,1,14,122778
15,1,15,119695
16,1,16,119073
17,1,17,124507
18,1,18,123239
19,1,19,117809
20,1,20,117621
21,1,21,120182
22,1,22,121208
23,1,23,121854
24,1,24,125762
25,1,25,124076
26,1,26,119619
27,1,27,118004
28,1,28,120770
29,1,29,120029
30,1,30,120814
31,1,31,124435
32,2,1,124453
33,2,2,121134
34,2,3,118539
35,2,4,121621
36,2,5,122015
37,2,6,121325
38,2,7,127518
39,2,8,125068
40,2,9,119598
41,2,10,120097
42,2,11,122531
43,2,12,124101
44,2,13,119127
45,2,14,131967
46,2,15,126232
47,2,16,120234
48,2,17,118148
49,2,18,121827
50,2,19,120667
51,2,20,122344
52,2,21,125777
53,2,22,125530
54,2,23,120097
55,2,24,118527
56,2,25,122127
57,2,26,121459
58,2,27,121518
59,2,28,125102
60,3,1,125658
61,3,2,120050
62,3,3,121155
63,3,4,122377
64,3,5,122565
65,3,6,122341
66,3,7,126834
67,3,8,124489
68,3,9,120060
69,3,10,119381
70,3,11,121742
71,3,12,122674
72,3,13,119123
73,3,14,126837
74,3,15,124156
75,3,16,119480
76,3,17,121173
77,3,18,122014
78,3,19,121525
79,3,20,124079
80,3,21,128196
81,3,22,124358
82,3,23,119718
83,3,24,118793
84,3,25,122071
85,3,26,121063
86,3,27,122006
87,3,28,126430
88,3,29,122330
89,3,30,119272
90,3,31,117201
91,4,1,114531
92,4,2,123239
93,4,3,122827
94,4,4,128279
95,4,5,123846
96,4,6,118412
97,4,7,118236
98,4,8,121430
99,4,9,121599
100,4,10,121875
101,4,11,126929
102,4,12,124019
103,4,13,114697
104,4,14,118274
105,4,15,121186
106,4,16,121777
107,4,17,122216
108,4,18,125195
109,4,19,123113
110,4,20,119025
111,4,21,118197
112,4,22,121054
113,4,23,121022
114,4,24,121238
115,4,25,126074
116,4,26,123175
117,4,27,118535
118,4,28,117884
119,4,29,119645
120,4,30,119323
121,5,1,123568
122,5,2,126527
123,5,3,123841
124,5,4,118362
125,5,5,120568
126,5,6,121520
127,5,7,121927
128,5,8,122859
129,5,9,125863
130,5,10,125665
131,5,11,119545
132,5,12,119708
133,5,13,118528
134,5,14,123572
135,5,15,125358
136,5,16,129192
137,5,17,126070
138,5,18,120553
139,5,19,119863
140,5,20,125053
141,5,21,125790
142,5,22,127078
143,5,23,132175
144,5,24,128963
145,5,25,120207
146,5,26,113469
147,5,27,117237
148,5,28,118976
149,5,29,122015
150,5,30,123287
151,5,31,123165
152,6,1,125271
153,6,2,124416
154,6,3,125458
155,6,4,124909
156,6,5,125607
157,6,6,127781
158,6,7,126505
159,6,8,123000
160,6,9,121043
161,6,10,125024
162,6,11,124272
163,6,12,125647
164,6,13,126397
165,6,14,128062
166,6,15,122932
167,6,16,122835
168,6,17,125913
169,6,18,127348
170,6,19,125475
171,6,20,131262
172,6,21,127686
173,6,22,123444
174,6,23,122681
175,6,24,125851
176,6,25,127487
177,6,26,127656
178,6,27,132927
179,6,28,131088
180,6,29,126441
181,6,30,125952
182,7,1,132657
183,7,2,132420
184,7,3,127167
185,7,4,96114
186,7,5,119088
187,7,6,128675
188,7,7,132800
189,7,8,133421
190,7,9,131347
191,7,10,131997
192,7,11,135243
193,7,12,131386
194,7,13,123892
195,7,14,127298
196,7,15,131140
197,7,16,131536
198,7,17,131851
199,7,18,135019
200,7,19,130903
201,7,20,126797
202,7,21,127659
203,7,22,129813
204,7,23,130734
205,7,24,130564
206,7,25,134785
207,7,26,131127
208,7,27,126853
209,7,28,126458
210,7,29,128993
211,7,30,129658
212,7,31,129333
213,8,1,135401
214,8,2,131641
215,8,3,126224
216,8,4,125692
217,8,5,130138
218,8,6,129252
219,8,7,131010
220,8,8,136284
221,8,9,133622
222,8,10,127928
223,8,11,127296
224,8,12,131434
225,8,13,128437
226,8,14,131286
227,8,15,136851
228,8,16,134144
229,8,17,129060
230,8,18,127533
231,8,19,130186
232,8,20,132122
233,8,21,131271
234,8,22,135583
235,8,23,133061
236,8,24,127165
237,8,25,127086
238,8,26,130229
239,8,27,131776
240,8,28,133687
241,8,29,136825
242,8,30,134453
243,8,31,129218
244,9,1,120344
245,9,2,121777
246,9,3,123150
247,9,4,127131
248,9,5,130292
249,9,6,130506
250,9,7,128063
251,9,8,131443
252,9,9,137779
253,9,10,136708
254,9,11,127899
255,9,12,141129
256,9,13,134240
257,9,14,133030
258,9,15,132912
259,9,16,135550
260,9,17,136256
261,9,18,136306
262,9,19,140693
263,9,20,138634
264,9,21,132432
265,9,22,130746
266,9,23,134385
267,9,24,133752
268,9,25,133790
269,9,26,137834
270,9,27,134108
271,9,28,127711
272,9,29,125957
273,9,30,128201
274,10,1,131327
275,10,2,130404
276,10,3,134428
277,10,4,130009
278,10,5,125396
279,10,6,123532
280,10,7,126065
281,10,8,126518
282,10,9,125749
283,10,10,133577
284,10,11,127399
285,10,12,122624
286,10,13,117749
287,10,14,124065
288,10,15,125515
289,10,16,125031
290,10,17,129545
291,10,18,126777
292,10,19,121099
293,10,20,120807
294,10,21,123709
295,10,22,124889
296,10,23,124400
297,10,24,129664
298,10,25,127031
299,10,26,121675
300,10,27,121023
301,10,28,124453
302,10,29,123098
303,10,30,121509
304,10,31,112989
305,11,1,129753
306,11,2,123696
307,11,3,122027
308,11,4,124799
309,11,5,125818
310,11,6,124960
311,11,7,129324
312,11,8,126797
313,11,9,121369
314,11,10,121118
315,11,11,125851
316,11,12,124645
317,11,13,121487
318,11,14,129194
319,11,15,128095
320,11,16,123204
321,11,17,121947
322,11,18,125801
323,11,19,126317
324,11,20,129395
325,11,21,133069
326,11,22,118983
327,11,23,109277
328,11,24,106990
329,11,25,112406
330,11,26,113826
331,11,27,109475
332,11,28,114091
333,11,29,121334
334,11,30,120638
335,12,1,123048
336,12,2,125480
337,12,3,125404
338,12,4,123893
339,12,5,128045
340,12,6,124283
341,12,7,119341
342,12,8,118396
343,12,9,121478
344,12,10,123049
345,12,11,123328
346,12,12,130708
347,12,13,124088
348,12,14,122636
349,12,15,122312
350,12,16,126604
351,12,17,129328
352,12,18,132071
353,12,19,138448
354,12,20,137470
355,12,21,130910
356,12,22,124667
357,12,23,115755
358,12,24,88883
359,12,25,70794
360,12,26,108379
361,12,27,134457
362,12,28,133458
363,12,29,130791
364,12,30,132860
365,12,31,116668
